artist_id,common_name,wiki_url,language_count
1,Sidney Bechet,,
5,Take That,,
6,Van Morrison,https://en.wikipedia.org/wiki/Van_Morrison,48.0
7,Clouseau,,
8,Dinah Washington,https://en.wikipedia.org/wiki/Dinah_Washington,39.0
10,Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,99.0
11,Marie Fredriksson,https://en.wikipedia.org/wiki/Marie_Fredriksson,46.0
12,Nydia Rojas,,
14,The Beach Boys,https://en.wikipedia.org/wiki/The_Beach_Boys,78.0
16,The Doors,https://en.wikipedia.org/wiki/The_Doors,180.0
17,Led Zeppelin,https://en.wikipedia.org/wiki/Led_Zeppelin,109.0
20,Counting Crows,https://en.wikipedia.org/wiki/Counting_Crows,28.0
21,Chet Atkins,https://en.wikipedia.org/wiki/Chet_Atkins,37.0
22,Sleepy John Estes,,
23,Taj Mahal,,
25,Janez Detd.,,
26,Alphaville,https://en.wikipedia.org/wiki/Alphaville_(band),39.0
28,Missing Persons,https://en.wikipedia.org/wiki/Missing_Persons_(band),12.0
29,Nina Simone,https://en.wikipedia.org/wiki/Nina_Simone,74.0
30,The Animals,https://en.wikipedia.org/wiki/The_Animals,52.0
31,Screamin' Jay Hawkins,https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins,30.0
33,Bee Gees,https://en.wikipedia.org/wiki/Bee_Gees,68.0
34,Pete Seeger,https://en.wikipedia.org/wiki/Pete_Seeger,80.0
35,The Byrds,https://en.wikipedia.org/wiki/The_Byrds,42.0
37,Atomic Kitten,https://en.wikipedia.org/wiki/Atomic_Kitten,38.0
38,Steps,https://en.wikipedia.org/wiki/Steps_(pop_group),22.0
40,Barry Manilow,https://en.wikipedia.org/wiki/Barry_Manilow,38.0
41,The Beatles,https://en.wikipedia.org/wiki/The_Beatles,211.0
42,Joe Cocker,https://en.wikipedia.org/wiki/Joe_Cocker,78.0
43,Merry Clayton,,
44,Betty Everett,,
45,Cher,https://en.wikipedia.org/wiki/Cher,99.0
47,Westlife,,
48,Extreme,https://en.wikipedia.org/wiki/Extreme_(band),28.0
49,Blondie,https://en.wikipedia.org/wiki/Blondie_(band),61.0
50,Sleeper,,
51,The Paragons,,
52,The Smashing Pumpkins,https://en.wikipedia.org/wiki/The_Smashing_Pumpkins,57.0
53,The Cars,https://en.wikipedia.org/wiki/The_Cars,30.0
54,The Cure,https://en.wikipedia.org/wiki/The_Cure,66.0
56,Letters to Cleo,https://en.wikipedia.org/wiki/Letters_to_Cleo,7.0
57,Cyndi Lauper,https://en.wikipedia.org/wiki/Cyndi_Lauper,64.0
58,Sheb Wooley,https://en.wikipedia.org/wiki/Sheb_Wooley,17.0
59,The Chipmunks,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks,32.0
60,Patrice Rushen,https://en.wikipedia.org/wiki/Patrice_Rushen,15.0
61,Will Smith,https://en.wikipedia.org/wiki/DJ_Jazzy_Jeff_&_the_Fresh_Prince,17.0
61,Will Smith,https://en.wikipedia.org/wiki/Will_Smith,110.0
63,The Smiths,,
64,Love Spit Love,,
65,Arrows,,
66,Britney Spears,https://en.wikipedia.org/wiki/Britney_Spears,122.0
68,Funkstar De Luxe,,
69,Bonnie Tyler,https://en.wikipedia.org/wiki/Bonnie_Tyler,58.0
