"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","r&b & soul","world","rock","electronic","folk","blues / country","jazz","","other","pop","","",""
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","jazz","blues / country","electronic","other","pop","","","","","","","",""
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","r&b & soul","electronic","other","jazz","pop","","","","","","","",""
"11","Marie Fredriksson","https://en.wikipedia.org/wiki/Marie_Fredriksson","rock","","","","","","","","","","","",""
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","rock","pop","","","","","","","","","","",""
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","rock","","","","","","","","","","","",""
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","rock","","","metal","","","","","","","","",""
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","rock","","","","","","","","","","","",""
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","blues / country","pop","rock","jazz","classical","folk","","","","","","",""
"26","Alphaville","https://en.wikipedia.org/wiki/Alphaville_(band)","electronic","","","","","","","","","","","",""
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","electronic","","punk","rock","","","","","","","","",""
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","jazz","electronic","classical","folk","other","blues / country","r&b & soul","","","","","",""
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","rock","electronic","","","","","","","","","","",""
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","blues / country","r&b & soul","","rock","","","","","","","","",""
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","pop","r&b & soul","electronic","rock","","","","","","","","",""
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","folk","","","","","","","","","","","",""
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","rock","pop","","","world","","","","","","","",""
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","pop","electronic","","","","","","","","","","",""
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","pop","electronic","","","","","","","","","","",""
"40","Barry Manilow","https://en.wikipedia.org/wiki/Barry_Manilow","rock","","","","","","","","","","","",""
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","rock","pop","","","","","","","","","","",""
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","rock","blues / country","r&b & soul","pop","","","","","","","","",""
"45","Cher","https://en.wikipedia.org/wiki/Cher","pop","rock","folk","jazz","","","","","","","","",""
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","rock","metal","","","","","","","","","","",""
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","electronic","rock","","pop","","","","","","","","",""
"52","The Smashing Pumpkins","https://en.wikipedia.org/wiki/The_Smashing_Pumpkins","rock","","","","","","","","","","","",""
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","electronic","rock","","","","","","","","","","",""
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","rock","punk","","electronic","","","","","","","","",""
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","rock","","","","","","","","","","","",""
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","pop","jazz","electronic","rock","","","","","","","","",""
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","blues / country","world","rock","pop","","jazz","","","","","","",""
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","pop","","folk","","","","","","","","","",""
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","r&b & soul","electronic","jazz","","","rock","","pop","","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/DJ_Jazzy_Jeff_&_the_Fresh_Prince","electronic","other","","","","","","","","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/Will_Smith","hip hop","pop","","","","","","","","","","",""
"66","Britney Spears","https://en.wikipedia.org/wiki/Britney_Spears","pop","electronic","","","","","","","","","","",""
"69","Bonnie Tyler","https://en.wikipedia.org/wiki/Bonnie_Tyler","rock","blues / country","pop","","","","","","","","","",""
"73","Air Supply","https://en.wikipedia.org/wiki/Air_Supply","rock","","pop","","easy listening","","","","","","","",""
"75","Art Garfunkel","https://en.wikipedia.org/wiki/Art_Garfunkel","folk","rock","pop","","","","","","","","","",""
"76","Michael Bolton","https://en.wikipedia.org/wiki/Michael_Bolton","rock","","r&b & soul","","","","","","","","","",""
"78","Jerry Lee Lewis","https://en.wikipedia.org/wiki/Jerry_Lee_Lewis","rock","","blues / country","other","world","","jazz","","","","","",""
"79","Tom Jones","https://en.wikipedia.org/wiki/Tom_Jones_(singer)","pop","electronic","r&b & soul","blues / country","other","","","","","","","",""
"84","Madonna","https://en.wikipedia.org/wiki/Madonna","pop","electronic","jazz","","","","","","","","","",""
"85","Susanna Hoffs","https://en.wikipedia.org/wiki/Susanna_Hoffs","rock","pop","","","","","","","","","","",""
"88","Lou Reed","https://en.wikipedia.org/wiki/Lou_Reed","rock","","punk","","","","","","","","","",""
"90","The Velvet Underground","https://en.wikipedia.org/wiki/The_Velvet_Underground","rock","punk","","","","","","","","","","",""
"95","Jerry Butler","https://en.wikipedia.org/wiki/Jerry_Butler","electronic","r&b & soul","","","","","","","","","","",""
"96","R.E.M.","https://en.wikipedia.org/wiki/R.E.M.","rock","","","","punk","","","","","","","",""
"100","Phil Collins","https://en.wikipedia.org/wiki/Phil_Collins","pop","rock","","","","","","","","","","",""
"101","Leatherface","https://en.wikipedia.org/wiki/Leatherface_(band)","rock","punk","","","","","","","","","","",""
"103","Elvis Presley","https://en.wikipedia.org/wiki/Elvis_Presley","rock","pop","","blues / country","other","electronic","r&b & soul","","","","","",""
"105","Elton John","https://en.wikipedia.org/wiki/Elton_John","rock","","","blues / country","","","","","","","","",""
"108","Mark Snow","https://en.wikipedia.org/wiki/Mark_Snow","other","","","","","","","","","","","",""
"111","Coolio","https://en.wikipedia.org/wiki/Coolio","hip hop","","","","","","","","","","","",""
"112","Mecano","https://en.wikipedia.org/wiki/Mecano","pop","electronic","","rock","","","","","","","","",""
"114","Shocking Blue","https://en.wikipedia.org/wiki/Shocking_Blue","rock","","pop","","","","","","","","","",""
"116","Pearl Jam","https://en.wikipedia.org/wiki/Pearl_Jam","rock","","","","","","","","","","","",""
"119","ABBA","https://en.wikipedia.org/wiki/ABBA","pop","electronic","rock","","","","","","","","","",""
"123","Sam Cooke","https://en.wikipedia.org/wiki/Sam_Cooke","r&b & soul","electronic","other","","","","","","","","","",""
"128","Peter Gabriel","https://en.wikipedia.org/wiki/Peter_Gabriel","rock","","electronic","r&b & soul","","","","","","","","",""
"132","Nick Lowe","https://en.wikipedia.org/wiki/Nick_Lowe","rock","electronic","","","","","","","","","","",""
"134","Jimi Hendrix","https://en.wikipedia.org/wiki/Jimi_Hendrix","rock","","blues / country","electronic","","","","","","","","",""
"138","Charlie Parker","https://en.wikipedia.org/wiki/Charlie_Parker","jazz","","","","","","","","","","","",""
"139","Shirley Bassey","https://en.wikipedia.org/wiki/Shirley_Bassey","electronic","pop","jazz","r&b & soul","","","","","","","","",""
"140","Michel Fugain","https://en.wikipedia.org/wiki/Michel_Fugain","pop","","","","","","","","","","","",""
"142","Ben E. King","https://en.wikipedia.org/wiki/Ben_E._King","r&b & soul","electronic","","","","","","","","","","",""
"144","Sezen Aksu","https://en.wikipedia.org/wiki/Sezen_Aksu","pop","","","","","","","","","","","",""
"146","Birth Control","https://en.wikipedia.org/wiki/Birth_Control_(band)","electronic","rock","","","","","","","","","","",""
"148","Willie Nelson","https://en.wikipedia.org/wiki/Willie_Nelson","blues / country","","jazz","other","","","","","","","","",""
"150","Leonard Cohen","https://en.wikipedia.org/wiki/Leonard_Cohen","folk","rock","pop","","","blues / country","","electronic","","","","",""
"152","Alice Cooper","https://en.wikipedia.org/wiki/Alice_Cooper_(band)","rock","","","","","","","","","","","",""
"153","Pet Shop Boys","https://en.wikipedia.org/wiki/Pet_Shop_Boys","electronic","","","","","pop","","","","","","",""
"155","Neil Diamond","https://en.wikipedia.org/wiki/Neil_Diamond","rock","pop","folk","blues / country","","","","","","","","",""
"156","Smash Mouth","https://en.wikipedia.org/wiki/Smash_Mouth","rock","","","world","","","","","","","","",""
"158","Bob Dylan","https://en.wikipedia.org/wiki/Bob_Dylan","folk","blues / country","rock","other","","pop","","","","","","",""
"160","Bobby McFerrin","https://en.wikipedia.org/wiki/Bobby_McFerrin","jazz","other","","world","classical","","","","","","","",""
"162","Bryan Adams","https://en.wikipedia.org/wiki/Bryan_Adams","rock","","","","","","","","","","","",""
"167","Peter Frampton","https://en.wikipedia.org/wiki/Peter_Frampton","rock","","","","","","","","","","","",""
"169","Nirvana","https://en.wikipedia.org/wiki/Nirvana_(band)","rock","","","","","","","","","","","",""
"171","Muse","https://en.wikipedia.org/wiki/Muse_(band)","rock","","electronic","","metal","","","","","","","",""
"172","Grace Jones","https://en.wikipedia.org/wiki/Grace_Jones","electronic","","","pop","world","jazz","","","","","","",""
"176","Dusty Springfield","https://en.wikipedia.org/wiki/Dusty_Springfield","pop","r&b & soul","","blues / country","jazz","","","","","","","",""
"181","Gene Pitney","https://en.wikipedia.org/wiki/Gene_Pitney","pop","blues / country","","","","","","","","","","",""
"185","Sugar Ray","https://en.wikipedia.org/wiki/Sugar_Ray","rock","","metal","","","","","","","","","",""
"187","Gary Moore","https://en.wikipedia.org/wiki/Gary_Moore","blues / country","rock","","metal","jazz","","","","","","","",""
"190","Chris Isaak","https://en.wikipedia.org/wiki/Chris_Isaak","rock","blues / country","","","","","","","","","","",""
"191","Scorpions","https://en.wikipedia.org/wiki/Scorpions_(band)","rock","metal","","","","","","","","","","",""
"192","Helloween","https://en.wikipedia.org/wiki/Helloween","metal","","","","","","","","","","","",""
"193","Jethro Tull","https://en.wikipedia.org/wiki/Jethro_Tull_(band)","rock","","","","","","","","","","","",""
"196","Focus","https://en.wikipedia.org/wiki/Focus_(band)","rock","jazz","","","","","","","","","","",""
"198","Frank Marino","https://en.wikipedia.org/wiki/Frank_Marino","rock","","","metal","","","","","","","","",""
"199","Cream","https://en.wikipedia.org/wiki/Cream_(band)","rock","","","","","","","","","","","",""
"201","Deep Purple","https://en.wikipedia.org/wiki/Deep_Purple","rock","metal","","","","","","","","","","",""
"202","Muddy Waters","https://en.wikipedia.org/wiki/Muddy_Waters","blues / country","","","","","","","","","","","",""
"203","Steppenwolf","https://en.wikipedia.org/wiki/Steppenwolf_(band)","rock","","","","metal","","","","","","","",""
"204","NOFX","https://en.wikipedia.org/wiki/NOFX","rock","punk","","world","","","","","","","","",""
"205","Rancid","https://en.wikipedia.org/wiki/Rancid_(band)","rock","world","punk","","","","","","","","","",""
"209","Grand Funk Railroad","https://en.wikipedia.org/wiki/Grand_Funk_Railroad","rock","","","","","","","","","","","",""
"211","Metallica","https://en.wikipedia.org/wiki/Metallica","metal","","","rock","","","","","","","","",""
"212","Dire Straits","https://en.wikipedia.org/wiki/Dire_Straits","rock","","","","","","","","","","","",""
"214","Eric Clapton","https://en.wikipedia.org/wiki/Eric_Clapton","rock","blues / country","","","","","","","","","","",""
"216","Mark Knopfler","https://en.wikipedia.org/wiki/Mark_Knopfler","rock","","","","","","","","","","","",""
"222","Philip Glass","https://en.wikipedia.org/wiki/Philip_Glass","other","","","","","","","","","","","",""
"223","Aerosmith","https://en.wikipedia.org/wiki/Aerosmith","rock","","metal","","","","","","","","","",""
"224","Eminem","https://en.wikipedia.org/wiki/Eminem","hip hop","","","","","","","","","","","",""
"225","Jerry Jeff Walker","https://en.wikipedia.org/wiki/Jerry_Jeff_Walker","avant-garde & experimental","blues / country","folk","","","","","","","","","",""
"227","Buffy Sainte-Marie","https://en.wikipedia.org/wiki/Buffy_Sainte-Marie","folk","rock","","","","","","","","","","",""
"229","Alex Chilton","https://en.wikipedia.org/wiki/Alex_Chilton","rock","","","r&b & soul","","","","","","","","",""
"230","Elvis Costello","https://en.wikipedia.org/wiki/Elvis_Costello","rock","pop","electronic","","","","","","","","","",""
"233","Henry Mancini","https://en.wikipedia.org/wiki/Henry_Mancini","other","rock","","","","","","","","","","",""
"239","Mariah Carey","https://en.wikipedia.org/wiki/Mariah_Carey","electronic","pop","","r&b & soul","","","","","","","","",""
"240","No Doubt","https://en.wikipedia.org/wiki/No_Doubt","world","","rock","electronic","","punk","","","","","","",""
"243","Bing Crosby","https://en.wikipedia.org/wiki/Bing_Crosby","pop","jazz","other","","","","","","","","","",""
"245","Tom Rush","https://en.wikipedia.org/wiki/Tom_Rush","blues / country","folk","","","","","","","","","","",""
"247","Andrea McArdle","https://en.wikipedia.org/wiki/Andrea_McArdle","other","","","","","","","","","","","",""
"248","Jay-Z","https://en.wikipedia.org/wiki/Jay-Z","hip hop","","","","","","","","","","","",""
"251","Marco Masini","https://en.wikipedia.org/wiki/Marco_Masini","other","","","","","","","","","","","",""
"253","Syria","https://en.wikipedia.org/wiki/Syria_(singer)","other","","","","","","","","","","","",""
"255","Richard Shindell","https://en.wikipedia.org/wiki/Richard_Shindell","folk","","","","","","","","","","","",""
"259","Filter","https://en.wikipedia.org/wiki/Filter_(band)","electronic","rock","","","","metal","","","","","","",""
"260","Thin Lizzy","https://en.wikipedia.org/wiki/Thin_Lizzy","rock","","metal","","","","","","","","","",""
"264","Marty Robbins","https://en.wikipedia.org/wiki/Marty_Robbins","blues / country","classical","pop","","","","","","","","","",""
