"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","blue-eyed soul","celtic","rock","r&b","folk","blues","jazz","country","gospel","christian","","",""
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","jazz","blues","r&b","gospel","traditional pop","","","","","","","",""
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","soul","r&b","gospel","jazz","pop","","","","","","","",""
"11","Marie Fredriksson","https://en.wikipedia.org/wiki/Marie_Fredriksson","pop rock","","","","","","","","","","","",""
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","rock","pop","surf","psychedelia","","","","","","","","",""
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","psychedelic rock","blues rock","acid rock","","","","","","","","","",""
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","hard rock","blues rock","folk rock","heavy metal","","","","","","","","",""
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","alternative rock","roots rock","pop rock","","","","","","","","","",""
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","country","pop","rock","jazz","classical","folk","rockabilly","country rock","","","","",""
"26","Alphaville","https://en.wikipedia.org/wiki/Alphaville_(band)","synth-pop","","","","","","","","","","","",""
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","new wave","synth-pop","post-punk","pop rock","","","","","","","","",""
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","jazz","r&b","classical","folk","gospel","blues","soul","","","","","",""
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","blues rock","r&b","psychedelic rock","progressive rock","rock and roll","","","","","","","",""
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","blues","rhythm and blues","soul","rock and roll","shock rock","","","","","","","",""
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","pop","soul","disco","rock","soft rock","","","","","","","",""
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","american folk music","protest music","americana","","","","","","","","","",""
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","rock","pop","folk rock","psychedelia","raga rock","country rock","jangle pop","","","","","",""
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","pop","dance-pop","europop","disco","","","","","","","","",""
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","pop","dance-pop","","","","","","","","","","",""
"40","Barry Manilow","https://en.wikipedia.org/wiki/Barry_Manilow","soft rock","","","","","","","","","","","",""
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","rock","pop","beat","psychedelia","","","","","","","","",""
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","rock","blues","blue-eyed soul","pop","","","","","","","","",""
"45","Cher","https://en.wikipedia.org/wiki/Cher","pop","rock","folk","dance","","","","","","","","",""
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","hard rock","funk metal","glam metal","","","","","","","","","",""
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","new wave","punk rock","pop rock","pop","disco","","","","","","","",""
"52","The Smashing Pumpkins","https://en.wikipedia.org/wiki/The_Smashing_Pumpkins","alternative rock","","","","","","","","","","","",""
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","new wave","pop rock","power pop","","","","","","","","","",""
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","gothic rock","post-punk","alternative rock","new wave","","","","","","","","",""
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","alternative rock","power pop","","","","","","","","","","",""
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","pop","dance","new wave","rock","","","","","","","","",""
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","country","novelty","comedy","pop","rock and roll","western swing","","","","","","",""
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","pop","childrens","christmas","","","","","","","","","",""
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","soul","r&b","jazz-funk","post-disco","urban","soft rock","new wave","pop","dance","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/DJ_Jazzy_Jeff_&_the_Fresh_Prince","hip hop","golden age hip-hop","","","","","","","","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/Will_Smith","hip-hop","pop","","","","","","","","","","",""
"66","Britney Spears","https://en.wikipedia.org/wiki/Britney_Spears","pop","dance-pop","electropop","teen pop","","","","","","","","",""
"69","Bonnie Tyler","https://en.wikipedia.org/wiki/Bonnie_Tyler","rock","country","pop","pop rock","soft rock","","","","","","","",""
"73","Air Supply","https://en.wikipedia.org/wiki/Air_Supply","soft rock","pop rock","pop","adult contemporary","middle-of-the-road","","","","","","","",""
"75","Art Garfunkel","https://en.wikipedia.org/wiki/Art_Garfunkel","folk","rock","pop","","","","","","","","","",""
"76","Michael Bolton","https://en.wikipedia.org/wiki/Michael_Bolton","pop rock","soft rock","blue-eyed soul","hard rock","","","","","","","","",""
"78","Jerry Lee Lewis","https://en.wikipedia.org/wiki/Jerry_Lee_Lewis","rock and roll","rockabilly","country","gospel","honky-tonk","blues","boogie-woogie","","","","","",""
"79","Tom Jones","https://en.wikipedia.org/wiki/Tom_Jones_(singer)","pop","r&b","soul","country","gospel","","","","","","","",""
"84","Madonna","https://en.wikipedia.org/wiki/Madonna","pop","electronica","dance","","","","","","","","","",""
"85","Susanna Hoffs","https://en.wikipedia.org/wiki/Susanna_Hoffs","rock","pop","","","","","","","","","","",""
"88","Lou Reed","https://en.wikipedia.org/wiki/Lou_Reed","rock","art rock","proto-punk","glam rock","noise rock","","","","","","","",""
"90","The Velvet Underground","https://en.wikipedia.org/wiki/The_Velvet_Underground","art rock","proto-punk","experimental rock","","","","","","","","","",""
"95","Jerry Butler","https://en.wikipedia.org/wiki/Jerry_Butler","r&b","soul","chicago soul","philadelphia soul","","","","","","","","",""
"96","R.E.M.","https://en.wikipedia.org/wiki/R.E.M.","alternative rock","jangle pop","folk rock","college rock","post-punk","","","","","","","",""
"100","Phil Collins","https://en.wikipedia.org/wiki/Phil_Collins","pop","soft rock","progressive rock","art rock","","","","","","","","",""
"101","Leatherface","https://en.wikipedia.org/wiki/Leatherface_(band)","punk rock","hardcore punk","melodic hardcore","","","","","","","","","",""
"103","Elvis Presley","https://en.wikipedia.org/wiki/Elvis_Presley","rock and roll","pop","rockabilly","country","gospel","r&b","soul","blues","","","","",""
"105","Elton John","https://en.wikipedia.org/wiki/Elton_John","pop rock","glam rock","soft rock","blues","","","","","","","","",""
"108","Mark Snow","https://en.wikipedia.org/wiki/Mark_Snow","","","","","","","","","","","","",""
"111","Coolio","https://en.wikipedia.org/wiki/Coolio","west coast hip-hop","gangsta rap","pop rap","","","","","","","","","",""
"112","Mecano","https://en.wikipedia.org/wiki/Mecano","pop","synth-pop","new wave","pop rock","","","","","","","","",""
"114","Shocking Blue","https://en.wikipedia.org/wiki/Shocking_Blue","psychedelic rock","nederbeat","garage pop","","","","","","","","","",""
"116","Pearl Jam","https://en.wikipedia.org/wiki/Pearl_Jam","alternative rock","grunge","hard rock","","","","","","","","","",""
"119","ABBA","https://en.wikipedia.org/wiki/ABBA","pop","disco","pop rock","europop","","","","","","","","",""
"123","Sam Cooke","https://en.wikipedia.org/wiki/Sam_Cooke","soul","r&b","gospel","","","","","","","","","",""
"128","Peter Gabriel","https://en.wikipedia.org/wiki/Peter_Gabriel","progressive rock","art rock","worldbeat","progressive soul","","","","","","","","",""
"132","Nick Lowe","https://en.wikipedia.org/wiki/Nick_Lowe","pub rock","new wave","power pop","","","","","","","","","",""
"134","Jimi Hendrix","https://en.wikipedia.org/wiki/Jimi_Hendrix","rock","psychedelia","blues","r&b","","","","","","","","",""
"138","Charlie Parker","https://en.wikipedia.org/wiki/Charlie_Parker","jazz","bebop","","","","","","","","","","",""
"139","Shirley Bassey","https://en.wikipedia.org/wiki/Shirley_Bassey","r&b","pop","jazz","soul","","","","","","","","",""
"140","Michel Fugain","https://en.wikipedia.org/wiki/Michel_Fugain","french variety songs","ballads","","","","","","","","","","",""
"142","Ben E. King","https://en.wikipedia.org/wiki/Ben_E._King","soul","r&b","doo-wop","","","","","","","","","",""
"144","Sezen Aksu","https://en.wikipedia.org/wiki/Sezen_Aksu","pop","","","","","","","","","","","",""
"146","Birth Control","https://en.wikipedia.org/wiki/Birth_Control_(band)","krautrock","hard rock","progressive rock","","","","","","","","","",""
"148","Willie Nelson","https://en.wikipedia.org/wiki/Willie_Nelson","country","blues","jazz","gospel","","","","","","","","",""
"150","Leonard Cohen","https://en.wikipedia.org/wiki/Leonard_Cohen","folk","rock","pop","soft rock","pop rock","country","synthpop","sophisti-pop","","","","",""
"152","Alice Cooper","https://en.wikipedia.org/wiki/Alice_Cooper_(band)","hard rock","glam rock","shock rock","psychedelic rock","","","","","","","","",""
"153","Pet Shop Boys","https://en.wikipedia.org/wiki/Pet_Shop_Boys","synth-pop","dance-pop","disco","house","hi-nrg","art pop","","","","","","",""
"155","Neil Diamond","https://en.wikipedia.org/wiki/Neil_Diamond","rock","pop","folk","country","soft rock","","","","","","","",""
"156","Smash Mouth","https://en.wikipedia.org/wiki/Smash_Mouth","alternative rock","power pop","pop rock","ska punk","","","","","","","","",""
"158","Bob Dylan","https://en.wikipedia.org/wiki/Bob_Dylan","folk","blues","rock","gospel","country","traditional pop","","","","","","",""
"160","Bobby McFerrin","https://en.wikipedia.org/wiki/Bobby_McFerrin","jazz","a cappella","vocal","world","classical","vocal jazz","","","","","","",""
"162","Bryan Adams","https://en.wikipedia.org/wiki/Bryan_Adams","rock","pop rock","soft rock","arena rock","heartland rock","","","","","","","",""
"167","Peter Frampton","https://en.wikipedia.org/wiki/Peter_Frampton","rock","","","","","","","","","","","",""
"169","Nirvana","https://en.wikipedia.org/wiki/Nirvana_(band)","grunge","alternative rock","punk rock","","","","","","","","","",""
"171","Muse","https://en.wikipedia.org/wiki/Muse_(band)","alternative rock","progressive rock","space rock","hard rock","progressive metal","art rock","electronic rock","","","","","",""
"172","Grace Jones","https://en.wikipedia.org/wiki/Grace_Jones","r&b","disco","new wave","art pop","reggae","dance","club","","","","","",""
"176","Dusty Springfield","https://en.wikipedia.org/wiki/Dusty_Springfield","pop","blue-eyed soul","french chanson","country","jazz","","","","","","","",""
"181","Gene Pitney","https://en.wikipedia.org/wiki/Gene_Pitney","pop","country","","","","","","","","","","",""
"185","Sugar Ray","https://en.wikipedia.org/wiki/Sugar_Ray","alternative rock","pop rock","nu metal","funk metal","","","","","","","","",""
