"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13","main_genre_1","main_genre_2","main_genre_3","main_genre_4","main_genre_5","main_genre_6","main_genre_7","main_genre_8","main_genre_9","main_genre_10","main_genre_11","main_genre_12","main_genre_13"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","blue-eyed soul","celtic","rock","r&b","folk","blues","jazz","country","gospel","christian","","","","r&b & soul","","rock","electronic","folk","","jazz","","other","","","",""
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","jazz","blues","r&b","gospel","traditional pop","","","","","","","","","jazz","","electronic","other","pop","","","","","","","",""
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","soul","r&b","gospel","jazz","pop","","","","","","","","","r&b & soul","electronic","other","jazz","pop","","","","","","","",""
"11","Marie Fredriksson","https://en.wikipedia.org/wiki/Marie_Fredriksson","pop rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","rock","pop","surf","psychedelia","","","","","","","","","","rock","pop","","","","","","","","","","",""
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","psychedelic rock","blues rock","acid rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","hard rock","blues rock","folk rock","heavy metal","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","alternative rock","roots rock","pop rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","country","pop","rock","jazz","classical","folk","rockabilly","country rock","","","","","","","pop","rock","jazz","classical","folk","rock","rock","","","","",""
"26","Alphaville","https://en.wikipedia.org/wiki/Alphaville_(band)","synth-pop","","","","","","","","","","","","","electronic","","","","","","","","","","","",""
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","new wave","synth-pop","post-punk","pop rock","","","","","","","","","","electronic","electronic","punk","rock","","","","","","","","",""
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","jazz","r&b","classical","folk","gospel","blues","soul","","","","","","","jazz","electronic","classical","folk","other","","r&b & soul","","","","","",""
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","blues rock","r&b","psychedelic rock","progressive rock","rock and roll","","","","","","","","","rock","electronic","rock","rock","rock","","","","","","","",""
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","blues","rhythm and blues","soul","rock and roll","shock rock","","","","","","","","","","r&b & soul","r&b & soul","rock","","","","","","","","",""
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","pop","soul","disco","rock","soft rock","","","","","","","","","pop","r&b & soul","electronic","rock","rock","","","","","","","",""
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","american folk music","protest music","americana","","","","","","","","","","","","","folk","","","","","","","","","",""
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","rock","pop","folk rock","psychedelia","raga rock","country rock","jangle pop","","","","","","","rock","pop","rock","","world","rock","rock","","","","","",""
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","pop","dance-pop","europop","disco","","","","","","","","","","pop","electronic","pop","electronic","","","","","","","","",""
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","pop","dance-pop","","","","","","","","","","","","pop","electronic","","","","","","","","","","",""
"40","Barry Manilow","https://en.wikipedia.org/wiki/Barry_Manilow","soft rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","rock","pop","beat","psychedelia","","","","","","","","","","rock","pop","rock","","","","","","","","","",""
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","rock","blues","blue-eyed soul","pop","","","","","","","","","","rock","","r&b & soul","pop","","","","","","","","",""
"45","Cher","https://en.wikipedia.org/wiki/Cher","pop","rock","folk","dance","","","","","","","","","","pop","rock","folk","","","","","","","","","",""
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","hard rock","funk metal","glam metal","","","","","","","","","","","rock","metal","metal","","","","","","","","","",""
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","new wave","punk rock","pop rock","pop","disco","","","","","","","","","electronic","rock","rock","pop","electronic","","","","","","","",""
"52","The Smashing Pumpkins","https://en.wikipedia.org/wiki/The_Smashing_Pumpkins","alternative rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","new wave","pop rock","power pop","","","","","","","","","","","electronic","rock","rock","","","","","","","","","",""
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","gothic rock","post-punk","alternative rock","new wave","","","","","","","","","","rock","punk","rock","electronic","","","","","","","","",""
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","alternative rock","power pop","","","","","","","","","","","","rock","rock","","","","","","","","","","",""
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","pop","dance","new wave","rock","","","","","","","","","","pop","","electronic","rock","","","","","","","","",""
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","country","novelty","comedy","pop","rock and roll","western swing","","","","","","","","","","","pop","rock","","","","","","","",""
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","pop","childrens","christmas","","","","","","","","","","","pop","","","","","","","","","","","",""
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","soul","r&b","jazz-funk","post-disco","urban","soft rock","new wave","pop","dance","","","","","r&b & soul","electronic","jazz","electronic","","rock","electronic","pop","","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/DJ_Jazzy_Jeff_&_the_Fresh_Prince","hip hop","golden age hip-hop","","","","","","","","","","","","electronic","","","","","","","","","","","",""
"61","Will Smith","https://en.wikipedia.org/wiki/Will_Smith","hip-hop","pop","","","","","","","","","","","","","pop","","","","","","","","","","",""
"66","Britney Spears","https://en.wikipedia.org/wiki/Britney_Spears","pop","dance-pop","electropop","teen pop","","","","","","","","","","pop","electronic","electronic","pop","","","","","","","","",""
"69","Bonnie Tyler","https://en.wikipedia.org/wiki/Bonnie_Tyler","rock","country","pop","pop rock","soft rock","","","","","","","","","rock","","pop","rock","rock","","","","","","","",""
"73","Air Supply","https://en.wikipedia.org/wiki/Air_Supply","soft rock","pop rock","pop","adult contemporary","middle-of-the-road","","","","","","","","","rock","rock","pop","pop","","","","","","","","",""
"75","Art Garfunkel","https://en.wikipedia.org/wiki/Art_Garfunkel","folk","rock","pop","","","","","","","","","","","folk","rock","pop","","","","","","","","","",""
"76","Michael Bolton","https://en.wikipedia.org/wiki/Michael_Bolton","pop rock","soft rock","blue-eyed soul","hard rock","","","","","","","","","","rock","rock","r&b & soul","rock","","","","","","","","",""
"78","Jerry Lee Lewis","https://en.wikipedia.org/wiki/Jerry_Lee_Lewis","rock and roll","rockabilly","country","gospel","honky-tonk","blues","boogie-woogie","","","","","","","rock","rock","","other","","","jazz","","","","","",""
"79","Tom Jones","https://en.wikipedia.org/wiki/Tom_Jones_(singer)","pop","r&b","soul","country","gospel","","","","","","","","","pop","electronic","r&b & soul","","other","","","","","","","",""
"84","Madonna","https://en.wikipedia.org/wiki/Madonna","pop","electronica","dance","","","","","","","","","","","pop","electronic","","","","","","","","","","",""
