"artist_id","common_name","wiki_url","genres"
"6","Van Morrison","https://en.wikipedia.org/wiki/Van_Morrison","Blue-eyed soul|Celtic|rock|R&B|folk|blues|jazz|country|gospel|Christian"
"8","Dinah Washington","https://en.wikipedia.org/wiki/Dinah_Washington","Jazz|blues|R&B|gospel|traditional pop"
"10","Aretha Franklin","https://en.wikipedia.org/wiki/Aretha_Franklin","Soul|R&B|[|1|]|gospel|jazz|pop"
"11","Marie Fredriksson","https://en.wikipedia.org/wiki/Marie_Fredriksson","Pop rock"
"14","The Beach Boys","https://en.wikipedia.org/wiki/The_Beach_Boys","Rock|pop|surf|psychedelia"
"16","The Doors","https://en.wikipedia.org/wiki/The_Doors","Psychedelic rock|[|1|]|blues rock|[|2|]|acid rock|[|3|]"
"17","Led Zeppelin","https://en.wikipedia.org/wiki/Led_Zeppelin","Hard rock|blues rock|folk rock|heavy metal"
"20","Counting Crows","https://en.wikipedia.org/wiki/Counting_Crows","Alternative rock|[|1|]|roots rock|[|2|]|pop rock|[|3|]"
"21","Chet Atkins","https://en.wikipedia.org/wiki/Chet_Atkins","Country|pop|rock|jazz|classical|folk|rockabilly|country rock"
"26","Alphaville","https://en.wikipedia.org/wiki/Alphaville_(band)","Synth-pop"
"28","Missing Persons","https://en.wikipedia.org/wiki/Missing_Persons_(band)","New wave|synth-pop|post-punk|pop rock"
"29","Nina Simone","https://en.wikipedia.org/wiki/Nina_Simone","Jazz|R&B|classical|folk|gospel|blues|soul"
"30","The Animals","https://en.wikipedia.org/wiki/The_Animals","Blues rock|[|1|]|R&B|psychedelic rock|progressive rock|[|2|]|rock and roll"
"31","Screamin' Jay Hawkins","https://en.wikipedia.org/wiki/Screamin'_Jay_Hawkins","Blues|[|1|]|rhythm and blues|[|2|]|soul|[|3|]|rock and roll|[|4|]|shock rock|[|5|]"
"33","Bee Gees","https://en.wikipedia.org/wiki/Bee_Gees","Pop|soul|disco|rock|soft rock|[|1|]"
"34","Pete Seeger","https://en.wikipedia.org/wiki/Pete_Seeger","American folk music|protest music|Americana"
"35","The Byrds","https://en.wikipedia.org/wiki/The_Byrds","Rock|pop|folk rock|psychedelia|raga rock|country rock|jangle pop"
"37","Atomic Kitten","https://en.wikipedia.org/wiki/Atomic_Kitten","Pop|dance-pop|Europop|disco"
"38","Steps","https://en.wikipedia.org/wiki/Steps_(pop_group)","Pop|dance-pop"
"40","Barry Manilow","https://en.wikipedia.org/wiki/Barry_Manilow","Soft rock|[|1|]"
"41","The Beatles","https://en.wikipedia.org/wiki/The_Beatles","Rock|pop|beat|psychedelia"
"42","Joe Cocker","https://en.wikipedia.org/wiki/Joe_Cocker","Rock|blues|blue-eyed soul|pop"
"45","Cher","https://en.wikipedia.org/wiki/Cher","Pop|rock|folk|dance"
"48","Extreme","https://en.wikipedia.org/wiki/Extreme_(band)","Hard rock|[|1|]|funk metal|[|2|]|glam metal|[|3|]"
"49","Blondie","https://en.wikipedia.org/wiki/Blondie_(band)","New wave|punk rock|pop rock|pop|disco"
"52","The Smashing Pumpkins","https://en.wikipedia.org/wiki/The_Smashing_Pumpkins","Alternative rock"
"53","The Cars","https://en.wikipedia.org/wiki/The_Cars","New wave|pop rock|power pop"
"54","The Cure","https://en.wikipedia.org/wiki/The_Cure","Gothic rock|post-punk|alternative rock|new wave"
"56","Letters to Cleo","https://en.wikipedia.org/wiki/Letters_to_Cleo","Alternative rock|power pop"
"57","Cyndi Lauper","https://en.wikipedia.org/wiki/Cyndi_Lauper","Pop|dance|new wave|rock|[|1|]"
"58","Sheb Wooley","https://en.wikipedia.org/wiki/Sheb_Wooley","Country|novelty|comedy|pop|rock and roll|Western swing"
"59","The Chipmunks","https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks","Pop|children's|Christmas"
"60","Patrice Rushen","https://en.wikipedia.org/wiki/Patrice_Rushen","Soul|R&B|jazz-funk|post-disco|urban|soft rock|new wave|pop|dance"
"61","Will Smith","https://en.wikipedia.org/wiki/DJ_Jazzy_Jeff_&_the_Fresh_Prince","Hip hop|golden age hip-hop"
"61","Will Smith","https://en.wikipedia.org/wiki/Will_Smith","Hip-hop|[|2|]|pop|[|2|]"
"66","Britney Spears","https://en.wikipedia.org/wiki/Britney_Spears","Pop|dance-pop|electropop|teen pop"
"69","Bonnie Tyler","https://en.wikipedia.org/wiki/Bonnie_Tyler","Rock|country|pop|pop rock|soft rock|[|1|]"
"73","Air Supply","https://en.wikipedia.org/wiki/Air_Supply","Soft rock|pop rock|pop|adult contemporary|middle-of-the-road"
"75","Art Garfunkel","https://en.wikipedia.org/wiki/Art_Garfunkel","Folk|rock|pop"
"76","Michael Bolton","https://en.wikipedia.org/wiki/Michael_Bolton","Pop rock|[|1|]|soft rock|[|1|]|[|2|]|blue-eyed soul|[|1|]|[|3|]|hard rock|(early)"
"78","Jerry Lee Lewis","https://en.wikipedia.org/wiki/Jerry_Lee_Lewis","Rock and roll|[|2|]|rockabilly|[|3|]|country|[|4|]|gospel|[|5|]|honky-tonk|[|6|]|blues|[|7|]|boogie-woogie|[|8|]"
"79","Tom Jones","https://en.wikipedia.org/wiki/Tom_Jones_(singer)","Pop|R&B|soul|country|gospel"
"84","Madonna","https://en.wikipedia.org/wiki/Madonna","Pop|electronica|dance"
"85","Susanna Hoffs","https://en.wikipedia.org/wiki/Susanna_Hoffs","Rock|pop"
"88","Lou Reed","https://en.wikipedia.org/wiki/Lou_Reed","Rock|art rock|proto-punk|glam rock|noise rock"
"90","The Velvet Underground","https://en.wikipedia.org/wiki/The_Velvet_Underground","Art rock|[|1|]|proto-punk|[|2|]|experimental rock|[|3|]"
"95","Jerry Butler","https://en.wikipedia.org/wiki/Jerry_Butler","R&B|soul|Chicago soul|Philadelphia soul"
"96","R.E.M.","https://en.wikipedia.org/wiki/R.E.M.","Alternative rock|jangle pop|folk rock|college rock|post-punk"
"100","Phil Collins","https://en.wikipedia.org/wiki/Phil_Collins","Pop|[|1|]|[|2|]|soft rock|[|3|]|progressive rock|[|4|]|art rock|[|1|]"
"101","Leatherface","https://en.wikipedia.org/wiki/Leatherface_(band)","Punk rock|hardcore punk|melodic hardcore"
"103","Elvis Presley","https://en.wikipedia.org/wiki/Elvis_Presley","Rock and roll|pop|rockabilly|country|gospel|R&B|soul|blues"
"105","Elton John","https://en.wikipedia.org/wiki/Elton_John","Pop rock|glam rock|soft rock|blues"
"108","Mark Snow","https://en.wikipedia.org/wiki/Mark_Snow",""
"111","Coolio","https://en.wikipedia.org/wiki/Coolio","West Coast hip-hop|gangsta rap|pop rap"
"112","Mecano","https://en.wikipedia.org/wiki/Mecano","Pop|synth-pop|new wave|pop rock"
"114","Shocking Blue","https://en.wikipedia.org/wiki/Shocking_Blue","Psychedelic rock|Nederbeat|Garage pop|[|1|]"
"116","Pearl Jam","https://en.wikipedia.org/wiki/Pearl_Jam","Alternative rock|grunge|hard rock"
"119","ABBA","https://en.wikipedia.org/wiki/ABBA","Pop|disco|pop rock|[|1|]|Europop|[|2|]"
"123","Sam Cooke","https://en.wikipedia.org/wiki/Sam_Cooke","Soul|R&B|gospel"
"128","Peter Gabriel","https://en.wikipedia.org/wiki/Peter_Gabriel","Progressive rock|art rock|worldbeat|progressive soul"
"132","Nick Lowe","https://en.wikipedia.org/wiki/Nick_Lowe","Pub rock|new wave|power pop"
"134","Jimi Hendrix","https://en.wikipedia.org/wiki/Jimi_Hendrix","Rock|psychedelia|blues|R&B"
"138","Charlie Parker","https://en.wikipedia.org/wiki/Charlie_Parker","Jazz|bebop"
"139","Shirley Bassey","https://en.wikipedia.org/wiki/Shirley_Bassey","R&B|pop|jazz|soul"
"140","Michel Fugain","https://en.wikipedia.org/wiki/Michel_Fugain","French variety songs|ballads"
"142","Ben E. King","https://en.wikipedia.org/wiki/Ben_E._King","Soul|R&B|doo-wop"
"144","Sezen Aksu","https://en.wikipedia.org/wiki/Sezen_Aksu","Pop"
"146","Birth Control","https://en.wikipedia.org/wiki/Birth_Control_(band)","Krautrock|hard rock|progressive rock"
"148","Willie Nelson","https://en.wikipedia.org/wiki/Willie_Nelson","Country|blues|jazz|gospel"
"150","Leonard Cohen","https://en.wikipedia.org/wiki/Leonard_Cohen","Folk|rock|pop|soft rock|pop rock|country|synthpop|sophisti-pop"
"152","Alice Cooper","https://en.wikipedia.org/wiki/Alice_Cooper_(band)","Hard rock|glam rock|shock rock|psychedelic rock|(early)"
"153","Pet Shop Boys","https://en.wikipedia.org/wiki/Pet_Shop_Boys","Synth-pop|[|1|]|dance-pop|[|1|]|disco|[|1|]|house|[|1|]|hi-NRG|[|2|]|art pop|[|3|]"
"155","Neil Diamond","https://en.wikipedia.org/wiki/Neil_Diamond","Rock|pop|folk|country|soft rock"
"156","Smash Mouth","https://en.wikipedia.org/wiki/Smash_Mouth","Alternative rock|power pop|pop rock|ska punk"
"158","Bob Dylan","https://en.wikipedia.org/wiki/Bob_Dylan","Folk|blues|rock|gospel|country|traditional pop"
"160","Bobby McFerrin","https://en.wikipedia.org/wiki/Bobby_McFerrin","Jazz|a cappella|vocal|world|classical|vocal jazz"
"162","Bryan Adams","https://en.wikipedia.org/wiki/Bryan_Adams","Rock|[|1|]|pop rock|soft rock|arena rock|heartland rock"
"167","Peter Frampton","https://en.wikipedia.org/wiki/Peter_Frampton","Rock"
"169","Nirvana","https://en.wikipedia.org/wiki/Nirvana_(band)","Grunge|alternative rock|punk rock"
"171","Muse","https://en.wikipedia.org/wiki/Muse_(band)","Alternative rock|progressive rock|space rock|hard rock|progressive metal|art rock|electronic rock"
"172","Grace Jones","https://en.wikipedia.org/wiki/Grace_Jones","R&B|[|2|]|[|3|]|disco|[|4|]|[|5|]|[|6|]|new wave|[|7|]|[|4|]|[|5|]|art pop|[|8|]|[|9|]|[|10|]|reggae|[|11|]|dance|[|12|]|club|[|12|]"
"176","Dusty Springfield","https://en.wikipedia.org/wiki/Dusty_Springfield","Pop|blue-eyed soul|[|1|]|French chanson|country|jazz"
"181","Gene Pitney","https://en.wikipedia.org/wiki/Gene_Pitney","Pop|Country"
"185","Sugar Ray","https://en.wikipedia.org/wiki/Sugar_Ray","Alternative rock|pop rock|nu metal|(early)|funk metal|(early)"
"187","Gary Moore","https://en.wikipedia.org/wiki/Gary_Moore","Blues|blues rock|hard rock|heavy metal|jazz fusion"
"190","Chris Isaak","https://en.wikipedia.org/wiki/Chris_Isaak","Rockabilly|country|rock and roll|soft rock|[|1|]"
"191","Scorpions","https://en.wikipedia.org/wiki/Scorpions_(band)","Hard rock|heavy metal"
"192","Helloween","https://en.wikipedia.org/wiki/Helloween","Power metal|speed metal|(early)|[|1|]"
"193","Jethro Tull","https://en.wikipedia.org/wiki/Jethro_Tull_(band)","Progressive rock|folk rock|hard rock|blues rock"
"196","Focus","https://en.wikipedia.org/wiki/Focus_(band)","Progressive rock|jazz fusion"
