Original Genre,Mapped Genre
glitch,Electronic/Dance
latin metal,Rock
musical theater,Pop
ambient,Electronic/Dance
adult contemporary,Pop
non-fiction books,World/Other
filmi,World/Other
synth-rock,Rock
tape,Electronic/Dance
electro,Electronic/Dance
christian alternative rock,Rock
jazz fusion,Jazz/Blues
avant-funk,Jazz/Blues
downtempo,Electronic/Dance
comedy metal,Rock
midwestern hip hop,Hip-Hop/Rap
instrumental rock,Rock
post-progressive,Rock
madchester,Rock
short stories,World/Other
chicago soul,Jazz/Blues
synthpop,Electronic/Dance
crossover thrash,Rock
neoclassical metal,Rock
slowcore,Rock
modern chanson,Pop
gospel reggae,World/Other
electropop,Electronic/Dance
bedroom pop,Pop
dark wave,Electronic/Dance
alternative metal,Rock
afropop,World/Other
boogie-woogie,Jazz/Blues
lako,World/Other
hip hop,Hip-Hop/Rap
ballad,Pop
electro-rock,Rock
nu-funk,Jazz/Blues
ballads,Pop
ethnopop,World/Other
theatre,Pop
emo-pop,Pop
progressive rap,Hip-Hop/Rap
post-bop,Jazz/Blues
piedmont blues,Jazz/Blues
grebo,Rock
tropiclia,World/Other
folk music,World/Other
beat,Electronic/Dance
dream pop,Rock
polka,World/Other
britfunk,Jazz/Blues
later years,World/Other
midwestern hip-hop,Hip-Hop/Rap
science fiction,World/Other
arena rock,Rock
gospel music,World/Other
stride,Jazz/Blues
alternative rock,Rock
light orchestral,Classical
merseybeat,Rock
experimental pop,Pop
comedy pop,Pop
bolero,World/Other
classical music,Classical
hawaiian,World/Other
vocal trance,Electronic/Dance
ambient techno,Electronic/Dance
classic rock revival,Rock
modern jazz,Jazz/Blues
indie soul,Jazz/Blues
world,World/Other
guaracha,World/Other
tuvan throat singing,World/Other
psychedelic soul,Jazz/Blues
melodic hardcore,Rock
blue-eyed soul,Jazz/Blues
french rock,Rock
uk garage,Electronic/Dance
zydeco,World/Other
gothic metal,Rock
space rock,Rock
parody music,Pop
new prog,Rock
australiana,World/Other
short story writer,World/Other
country music,World/Other
a cappella,Pop
euro disco,Electronic/Dance
twang,World/Other
anison,World/Other
south african jazz,Jazz/Blues
expressionist,World/Other
indie-pop,Pop
political hip hop,Hip-Hop/Rap
sound-alike,Pop
soul music,Jazz/Blues
hardcore punk,Rock
blues punk,Rock
art punk,Rock
hardcore rap,Hip-Hop/Rap
outlaw country,World/Other
west coast hip hop,Hip-Hop/Rap
metalcore,Rock
operatic pop,Pop
prog rock,Rock
jam rock,Rock
neo-prog,Rock
progressive house,Electronic/Dance
hardcore techno,Electronic/Dance
indie,Pop
musicals,Pop
british dance band,World/Other
pop music,Pop
progressive folk,World/Other
groove jazz,Jazz/Blues
technical death metal,Rock
klezmer,World/Other
country,World/Other
folk-blues,World/Other
raga rock,World/Other
old school hip hop,Hip-Hop/Rap
stadium house,Electronic/Dance
electro-pop,Electronic/Dance
southern gospel,World/Other
popular,Pop
italian folk,World/Other
novelty songs,Pop
author,World/Other
german hip hop,Hip-Hop/Rap
appalachian,World/Other
eurodance,Electronic/Dance
alt country,World/Other
word play,World/Other
astral jazz,Jazz/Blues
outsider,World/Other
trip hop,Electronic/Dance
proto-prog,Rock
canterbury scene,Rock
ska punk,Rock
memphis blues,Jazz/Blues
latin alternative,World/Other
psychedelic folk,World/Other
power ballad,Pop
