Music Type, Category
glitch, Electronic  
latin metal, Metal  
musical theater, Theater/Musical  
ambient, Electronic  
adult contemporary, Pop  
non-fiction books, Other  
filmi, World/Folk  
synth-rock, Rock  
tape, Other  
electro, Electronic  
christian alternative rock, Rock  
jazz fusion, Jazz/Blues  
avant-funk, Funk/Soul  
downtempo, Electronic  
comedy metal, Metal  
midwestern hip hop, Hip Hop  
instrumental rock, Rock  
post-progressive, Rock  
madchester, Rock  
short stories, Other  
chicago soul, Funk/Soul  
synthpop, Electronic  
crossover thrash, Metal  
neoclassical metal, Metal  
slowcore, Rock  
modern chanson, World/Folk  
gospel reggae, Funk/Soul  
electropop, Electronic  
bedroom pop, Pop  
dark wave, Electronic  
alternative metal, Metal  
afropop, World/Folk  
boogie-woogie, Jazz/Blues  
lako, Other  
hip hop, Hip Hop  
ballad, Pop  
electro-rock, Rock  
nu-funk, Funk/Soul  
ballads, Pop  
ethnopop, World/Folk  
theatre, Theater/Musical  
emo-pop, Pop  
progressive rap, Hip Hop  
post-bop, Jazz/Blues  
piedmont blues, Jazz/Blues  
grebo, Rock  
tropiclia, World/Folk  
folk music, World/Folk  
beat, Rock  
dream pop, Pop  
polka, World/Folk  
britfunk, Funk/Soul  
later years, Other  
midwestern hip-hop, Hip Hop  
science fiction, Other  
arena rock, Rock  
gospel music, Funk/Soul  
stride, Jazz/Blues  
alternative rock, Rock  
light orchestral, Classical  
merseybeat, Rock  
experimental pop, Pop  
comedy pop, Pop  
bolero, World/Folk  
classical music, Classical  
hawaiian, World/Folk  
vocal trance, Electronic  
ambient techno, Electronic  
classic rock revival, Rock  
modern jazz, Jazz/Blues  
indie soul, Funk/Soul  
world, World/Folk  
guaracha, World/Folk  
tuvan throat singing, World/Folk  
psychedelic soul, Funk/Soul  
melodic hardcore, Punk  
blue-eyed soul, Funk/Soul  
french rock, Rock  
uk garage, Electronic  
zydeco, World/Folk  
gothic metal, Metal  
space rock, Rock  
parody music, Other  
new prog, Rock  
australiana, World/Folk  
short story writer, Other  
country music, World/Folk  
a cappella, Pop  
euro disco, Electronic  
twang, World/Folk  
anison, World/Folk  
south african jazz, Jazz/Blues  
expressionist, Other  
indie-pop, Pop  
political hip hop, Hip Hop  
sound-alike, Other  
soul music, Funk/Soul  
hardcore punk, Punk  
blues punk, Punk  
art punk, Punk  
hardcore rap, Hip Hop  
outlaw country, World/Folk  
west coast hip hop, Hip Hop  
metalcore, Metal  
operatic pop, Pop  
prog rock, Rock  
jam rock, Rock  
neo-prog, Rock  
progressive house, Electronic  
hardcore techno, Electronic  
indie, Pop  
musicals, Theater/Musical  
british dance band, Other  
pop music, Pop  
progressive folk, World/Folk  
groove jazz, Jazz/Blues  
technical death metal, Metal  
klezmer, World/Folk  
country, World/Folk  
folk-blues, World/Folk  
raga rock, Rock  
old school hip hop, Hip Hop  
stadium house, Electronic  
electro-pop, Electronic  
southern gospel, Funk/Soul  
popular, Pop  
italian folk, World/Folk  
novelty songs, Other  
author, Other  
german hip hop, Hip Hop  
appalachian, World/Folk  
eurodance, Electronic  
alt country, World/Folk  
word play, Other  
astral jazz, Jazz/Blues  
outsider, Other  
trip hop, Hip Hop  
proto-prog, Rock  
canterbury scene, Rock  
ska punk, Punk  
memphis blues, Jazz/Blues  
latin alternative, World/Folk  
psychedelic folk, World/Folk  
power ballad, Pop  
urban blues, Jazz/Blues  
western swing, World/Folk  
afrobeat, Funk/Soul  
k-pop, Pop  
synthwave, Electronic  
childrens songs, Other  
rb, Funk/Soul  
christian punk, Punk  
countrypopular, Pop  
entehno, World/Folk  
alternative dance, Electronic  
acoustic rock, Rock  
french variety songs, World/Folk  
country rock, World/Folk  
folk, World/Folk  
jenkka, World/Folk  
islamic, Other  
brumbeat, Rock  
broadway theatre musicals, Theater/Musical  
mafioso rap, Hip Hop  
first-wave black metal, Metal  
varits, Other  
contemporary classical music, Classical  
medieval metal, Metal  
electronicore, Metal  
2-step garage, Electronic  
west coast hip-hop, Hip Hop  
garage rock, Rock  
folk metal, Metal  
wave, Electronic  
emo pop, Pop  
swedish pop, Pop  
hard rock, Rock  
death metal, Metal  
easycore, Punk  
uk funky, Funk/Soul  
character comedy, Other  
neapolitan song, World/Folk  
swamp pop, Funk/Soul  
rockabilly, World/Folk  
progressive rock, Rock  
reggae rock, Rock  
punk, Punk  
east coast blues, Jazz/Blues  
midwest emo, Punk  
sambalano, Other  
neue deutsche welle, Rock  
english folk music, World/Folk  
pop covers, Pop  
glam punk, Punk  
progressive pop, Pop  
avant-garde jazz, Jazz/Blues  
nu jazz, Jazz/Blues  
acoustic music, World/Folk  
gospel blues, Jazz/Blues  
