YEAR,WEEK,TW,LW,TITLE,ARTIST,LABEL,WEEKS_ON_CHART,PEAK_POSITION,WEEKS_AT_1
1976,1,1,2,SATURDAY NIGHT,The Bay City Rollers,Arista,13,1,1 week at #1
1976,1,2,6,I WRITE THE SONGS,Barry Manilow,Arista,8,2,
1976,1,3,5,THEME FROM “MAHOGANY” (Do You Know Where You’re Going To),Diana Ross,Motown,10,3,
1976,1,4,4,LOVE ROLLERCOASTER,The Ohio Players,Mercury,8,4,
1976,1,6,7,CONVOY,C.W. McCall,MGM,5,6,
1976,1,7,8,FOX ON THE RUN,Sweet,Capitol,8,7,
1976,1,8,3,THAT’S THE WAY (I Like It),K.C. and the Sunshine Band,T.K.,11,1,
1976,1,9,10,I LOVE MUSIC (Part 1),The O’Jays,Philadelphia International,10,9,
1976,1,10,9,"FLY, ROBIN, FLY",Silver Convention,Midland International,13,1,
1976,1,12,14,TIMES OF YOUR LIFE,Paul Anka,United Artists,8,12,
1976,1,13,17,WALK AWAY FROM LOVE,David Ruffin,Motown,9,13,
1976,1,14,16,COUNTRY BOY (You Got Your Feet In L.A.),Glen Campbell,Capitol,9,14,
1976,1,15,19,SING A SONG,"Earth, Wind and Fire",Columbia,7,15,
1976,1,16,20,YOU SEXY THING,Hot Chocolate,Big Tree,10,16,
1976,1,17,21,ROCK AND ROLL ALL NITE (Live Version),Kiss,Casablanca,8,17,
1976,1,18,23,FLY AWAY,John Denver (with Olivia Newton-John),RCA,5,18,
1976,1,19,12,SKY HIGH,Jigsaw,Chelsea,19,3,
1976,1,22,26,LOVE MACHINE (Part 1),The Miracles,Tamla,11,22,
1976,1,25,41,LOVE HURTS,Nazareth,A&M,7,25,
1976,1,26,30,WINNERS AND LOSERS,"Hamilton, Joe Frank and Reynolds",Playboy,9,26,
1976,1,28,34,BREAKING UP IS HARD TO DO,Neil Sedaka,Rocket,4,28,
1976,1,29,35,BABY FACE,The Wing and a Prayer Fife and Drum Corps,Wing and a Prayer,8,29,
1976,1,30,37,SOMEWHERE IN THE NIGHT,Helen Reddy,Capitol,5,30,
1976,1,31,22,PART TIME LOVE,Gladys Knight and the Pips,Buddah,9,22,
1976,1,33,33,SCHOOL BOY CRUSH,The Average White Band (AWB),Atlantic,6,33,
1976,1,36,43,LET IT SHINE / HE AIN’T HEAVY… HE’S MY BROTHER,Olivia Newton-John,MCA,5,36,
1976,1,37,40,LET’S LIVE TOGETHER,The Road Apples,Mums / Polydor,11,37,
1976,1,39,31,THE WAY I WANT TO TOUCH YOU,The Captain and Tennille,A&M,15,4,
1976,1,42,11,OUR DAY WILL COME,Frankie Valli,Private Stock,12,11,
1976,1,47,38,FIRE ON THE MOUNTAIN,The Marshall Tucker Band,Capricorn,12,38,
1976,1,49,39,VOLARE,Al Martino,Capitol,10,33,
1976,1,54,18,THE LAST GAME OF THE SEASON (A Blind Man In the Bleachers),David Geddes,Big Tree,8,18,
1976,1,41,47,PALOMA BLANCA,The George Baker Selection,Warner Brothers,6,41,
1976,1,46,46,WOMAN TONIGHT,America,Warner Brothers,6,46,
1976,1,48,48,THIS OLD MAN,Purple Reign,Private Stock,7,48,
1976,1,50,57,SLOW RIDE,Foghat,Bearsville,4,50,
1976,2,1,6,CONVOY,C.W. McCall,MGM,6,1,1 week at #1
1976,2,2,2,I WRITE THE SONGS,Barry Manilow,Arista,9,2,
1976,2,3,3,THEME FROM “MAHOGANY” (Do You Know Where You’re Going To),Diana Ross,Motown,11,3,
1976,2,4,4,LOVE ROLLERCOASTER,The Ohio Players,Mercury,9,4,
1976,2,5,1,SATURDAY NIGHT,The Bay City Rollers,Arista,14,1,
1976,2,6,7,FOX ON THE RUN,Sweet,Capitol,9,6,
1976,2,7,9,I LOVE MUSIC (Part 1),The O’Jays,Philadelphia International,11,7,
1976,2,8,8,THAT’S THE WAY (I Like It),K.C. and the Sunshine Band,T.K.,12,1,
1976,2,9,11,LOVE TO LOVE YOU BABY,Donna Summer,Oasis,6,9,
1976,2,10,12,TIMES OF YOUR LIFE,Paul Anka,United Artists,9,10,
1976,2,11,13,WALK AWAY FROM LOVE,David Ruffin,Motown,10,11,
1976,2,12,14,COUNTRY BOY (You Got Your Feet In L.A.),Glen Campbell,Capitol,10,12,
1976,2,13,15,SING A SONG,"Earth, Wind and Fire",Columbia,8,13,
1976,2,14,16,YOU SEXY THING,Hot Chocolate,Big Tree,11,14,
1976,2,15,17,ROCK AND ROLL ALL NITE (Live Version),Kiss,Casablanca,9,15,
1976,2,16,18,FLY AWAY,John Denver (with Olivia Newton-John),RCA,6,16,
1976,2,17,34,50 WAYS TO LEAVE YOUR LOVER,Paul Simon,Columbia,4,17,
1976,2,18,20,EVIL WOMAN,Electric Light Orchestra,United Artists,9,18,
1976,2,19,5,LET’S DO IT AGAIN,The Staple Singers,Curtom,12,1,
1976,2,20,22,LOVE MACHINE (Part 1),The Miracles,Tamla,12,20,
1976,2,21,23,OVER MY HEAD,Fleetwood Mac,Reprise,10,21,
1976,2,22,28,BREAKING UP IS HARD TO DO,Neil Sedaka,Rocket,5,22,
1976,2,23,25,LOVE HURTS,Nazareth,A&M,8,23,
1976,2,24,26,WINNERS AND LOSERS,"Hamilton, Joe Frank and Reynolds",Playboy,10,24,
1976,2,25,27,WAKE UP EVERYBODY (Part 1),Harold Melvin and the Blue Notes,Philadelphia International,8,25,
1976,2,26,24,FOR THE LOVE OF YOU (Parts 1 and 2),The Isley Brothers,T-Neck,9,22,
1976,2,27,29,BABY FACE,The Wing and a Prayer Fife and Drum Corps,Wing and a Prayer,9,27,
1976,2,28,30,SOMEWHERE IN THE NIGHT,Helen Reddy,Capitol,6,28,
1976,2,29,10,"FLY, ROBIN, FLY",Silver Convention,Midland International,14,1,
1976,2,30,19,SKY HIGH,Jigsaw,Chelsea,20,3,
1976,2,31,21,NIGHTS ON BROADWAY,Bee Gees,RSO,15,7,
1976,2,32,31,PART TIME LOVE,Gladys Knight and the Pips,Buddah,10,22,
1976,2,33,35,HURRICANE (Part 1),Bob Dylan,Columbia,7,33,
1976,2,34,36,LET IT SHINE / HE AIN’T HEAVY… HE’S MY BROTHER,Olivia Newton-John,MCA,6,34,
1976,2,35,37,LET’S LIVE TOGETHER,The Road Apples,Mums / Polydor,12,35,
1976,2,36,40,SQUEEZE BOX,The Who,MCA,7,36,
1976,2,37,41,PALOMA BLANCA,The George Baker Selection,Warner Brothers,7,37,
1976,2,38,53,THEME FROM “S.W.A.T.”,Rhythm Heritage,ABC,9,38,
1976,2,39,44,GOLDEN YEARS,David Bowie,RCA,5,39,
1976,2,40,50,SLOW RIDE,Foghat,Bearsville,5,40,
1976,2,41,32,ISLAND GIRL,Elton John,MCA,14,1,
1976,2,44,38,FULL OF FIRE,Al Green,Hi,10,28,
1976,2,48,39,THE WAY I WANT TO TOUCH YOU,The Captain and Tennille,A&M,16,4,
1976,2,53,33,SCHOOL BOY CRUSH,The Average White Band (AWB),Atlantic,7,33,
1976,2,42,55,TAKE IT TO THE LIMIT,Eagles,Asylum,4,42,
1976,2,43,43,DOWN TO THE LINE,Bachman-Turner Overdrive,Mercury,6,43,
1976,2,45,46,WOMAN TONIGHT,America,Warner Brothers,7,45,
1976,2,46,56,ALL BY MYSELF,Eric Carmen,Arista,4,46,
1976,2,49,51,PLAY ON LOVE,Jefferson Starship,Grunt,5,49,
1976,3,1,2,I WRITE THE SONGS,Barry Manilow,Arista,10,1,1 week at #1
1976,3,2,3,THEME FROM “MAHOGANY” (Do You Know Where You’re Going To),Diana Ross,Motown,12,2,
1976,3,3,1,CONVOY,C.W. McCall,MGM,7,1,
1976,3,4,4,LOVE ROLLERCOASTER,The Ohio Players,Mercury,10,4,
1976,3,5,6,FOX ON THE RUN,Sweet,Capitol,10,5,
1976,3,6,7,I LOVE MUSIC (Part 1),The O’Jays,Philadelphia International,12,6,
1976,3,7,9,LOVE TO LOVE YOU BABY,Donna Summer,Oasis,7,7,
1976,3,8,14,YOU SEXY THING,Hot Chocolate,Big Tree,12,8,
1976,3,9,10,TIMES OF YOUR LIFE,Paul Anka,United Artists,10,9,
1976,3,10,11,WALK AWAY FROM LOVE,David Ruffin,Motown,11,10,
1976,3,11,12,COUNTRY BOY (You Got Your Feet In L.A.),Glen Campbell,Capitol,11,11,
1976,3,12,13,SING A SONG,"Earth, Wind and Fire",Columbia,9,12,
1976,3,13,15,ROCK AND ROLL ALL NITE (Live Version),Kiss,Casablanca,10,13,
1976,3,14,16,FLY AWAY,John Denver (with Olivia Newton-John),RCA,7,14,
