ceremony,year,category,artist,work,role
3,1960,Record of the Year,Percy Faith,Theme from A Summer Place,winner
3,1960,Record of the Year,Frank Sinatra,Nice 'N Easy,nominee
3,1960,Record of the Year,Ella Fitzgerald,Mack The Knife,nominee
3,1960,Record of the Year,Ray Charles,Georgia On My Mind,nominee
3,1960,Record of the Year,Elvis Presley,Are You Lonesome Tonight?,nominee
3,1960,Album of the Year,Bob Newhart,The Button-Down Mind of,winner
3,1960,Album of the Year,Nat King Cole,Wild Is Love,nominee
3,1960,Album of the Year,Erich Leinsdorf,(conductor) for Puccini Turandot,nominee
3,1960,Album of the Year,Nice 'N Easy,Frank Sinatra for,nominee
3,1960,Album of the Year,Sviatoslav Richter,Erich Leinsdorf (conductor) for Brahms: Concerto with  (piano),nominee
3,1960,Album of the Year,Harry Belafonte,Belafonte Returns To Carnegie Hall,nominee
3,1960,Song of the Year,Ernest Gold,Theme of Exodus,winner
3,1960,Song of the Year,Max Steiner,"(songwriter) for "" Theme From A Summer Place "" performed by Percy Faith",nominee
3,1960,Song of the Year,Sammy Cahn,"& Jimmy Van Heusen (songwriters) for ""Second Time Around"" performed by Frank Sinatra",nominee
3,1960,Song of the Year,"Alan Bergman, Marilyn (Keith) Bergman","& Lew Spence (songwriters) for ""Nice 'N Easy"" performed by Frank Sinatra",nominee
3,1960,Song of the Year,Joe Allison,"Audrey Allison,  & Charles Grean (songwriters) for "" He'll Have To Go "" performed by Jim Reeves",nominee
3,1960,Best New Artist,Bob Newhart,,winner
3,1960,Best New Artist,The Brothers Four,,nominee
3,1960,Best New Artist,Joanie Sommers,,nominee
3,1960,Best New Artist,Leontyne Price,,nominee
3,1960,Best New Artist,Miriam Makeba,,nominee
