ceremony,year,category,artist,work,role
5,1962,Record of the Year,Tony Bennett,I Left My Heart in San Francisco,winner
5,1962,Record of the Year,Sammy Davis Jr.,What Kind Of Fool Am I,nominee
5,1962,Record of the Year,Nat King Cole,Ramblin' Rose,nominee
5,1962,Record of the Year,Ray Charles,I Can't Stop Loving You,nominee
5,1962,Record of the Year,Joe Harnell And His Orchestra,Fly Me To The Moon Bossa Nova,nominee
5,1962,Record of the Year,Stan Getz,"& Charlie Byrd for "" Desafinado """,nominee
5,1962,Album of the Year (other than classical),Vaughn Meader,The First Family,winner
5,1962,Album of the Year (other than classical),Allan Sherman,"My Son, The Folk Singer",nominee
5,1962,Album of the Year (other than classical),"Modern Sounds In Country And Western Music, Vol. I",Ray Charles for,nominee
5,1962,Album of the Year (other than classical),Jazz Samba,Stan Getz & Charlie Byrd for,nominee
5,1962,Album of the Year (other than classical),I Left My Heart In San Francisco,Tony Bennett for,nominee
5,1962,Song of the Year,Leslie Bricusse,"& Anthony Newley (songwriters) for "" What Kind of Fool Am I? "" performed by Sammy Davis Jr.",winner
5,1962,Song of the Year,Richard Rodgers,"(songwriter) for "" The Sweetest Sounds "" performed by Peggy Lee",nominee
5,1962,Song of the Year,Fred Ebb,"& John Kander (songwriters) for "" My Coloring Book "" performed by Sandy Stewart",nominee
5,1962,Song of the Year,"George Cory & Douglas Cross (songwriters) for ""I Left My Heart In San Francisco"" performed by Tony Bennett",,nominee
5,1962,Song of the Year,Lionel Bart,"(songwriter) for "" As Long As He Needs Me "" performed by Shirley Bassey & Della Reese",nominee
5,1962,Best New Artist,Robert Goulet,,winner
5,1962,Best New Artist,Four Seasons,,nominee
5,1962,Best New Artist,Allan Sherman,,nominee
5,1962,Best New Artist,"Peter, Paul and Mary",,nominee
5,1962,Best New Artist,Vaughn Meader,,nominee
5,1962,Best New Artist,The New Christy Minstrels,,nominee
